fecha,dia,dia_num,slot,hora_dec,aforo_predicho,aforo_max,ratio_ocupacion_predicho,nivel_ocupacion,timestamp_generacion
2026-05-27,Lunes,0,09:00,9.0,3,50,0.06,bajo,2026-05-27 13:55:39.990267
2026-05-27,Lunes,0,09:30,9.5,5,50,0.1,bajo,2026-05-27 13:55:39.990267
2026-05-27,Lunes,0,10:00,10.0,6,50,0.12,bajo,2026-05-27 13:55:39.990267
2026-05-27,Lunes,0,10:30,10.5,7,50,0.14,bajo,2026-05-27 13:55:39.990267
2026-05-27,Lunes,0,11:00,11.0,10,50,0.2,bajo,2026-05-27 13:55:39.990267
2026-05-27,Lunes,0,11:30,11.5,10,50,0.2,bajo,2026-05-27 13:55:39.990267
2026-05-27,Lunes,0,12:00,12.0,18,50,0.36,bajo,2026-05-27 13:55:39.990267
2026-05-27,Lunes,0,12:30,12.5,25,50,0.5,bajo,2026-05-27 13:55:39.990267
2026-05-27,Lunes,0,13:00,13.0,30,50,0.6,medio,2026-05-27 13:55:39.990267
2026-05-27,Lunes,0,13:30,13.5,30,50,0.6,medio,2026-05-27 13:55:39.990267
2026-05-27,Lunes,0,14:00,14.0,24,50,0.48,bajo,2026-05-27 13:55:39.990267
2026-05-27,Lunes,0,14:30,14.5,12,50,0.24,bajo,2026-05-27 13:55:39.990267
2026-05-27,Lunes,0,15:00,15.0,6,50,0.12,bajo,2026-05-27 13:55:39.990267
2026-05-27,Lunes,0,15:30,15.5,4,50,0.08,bajo,2026-05-27 13:55:39.990267
2026-05-27,Lunes,0,16:00,16.0,10,50,0.2,bajo,2026-05-27 13:55:39.990267
2026-05-27,Lunes,0,16:30,16.5,8,50,0.16,bajo,2026-05-27 13:55:39.990267
2026-05-27,Lunes,0,17:00,17.0,8,50,0.16,bajo,2026-05-27 13:55:39.990267
2026-05-27,Lunes,0,17:30,17.5,7,50,0.14,bajo,2026-05-27 13:55:39.990267
2026-05-27,Martes,1,09:00,9.0,2,50,0.04,bajo,2026-05-27 13:55:39.990267
2026-05-27,Martes,1,09:30,9.5,5,50,0.1,bajo,2026-05-27 13:55:39.990267
2026-05-27,Martes,1,10:00,10.0,8,50,0.16,bajo,2026-05-27 13:55:39.990267
2026-05-27,Martes,1,10:30,10.5,10,50,0.2,bajo,2026-05-27 13:55:39.990267
2026-05-27,Martes,1,11:00,11.0,12,50,0.24,bajo,2026-05-27 13:55:39.990267
2026-05-27,Martes,1,11:30,11.5,13,50,0.26,bajo,2026-05-27 13:55:39.990267
2026-05-27,Martes,1,12:00,12.0,26,50,0.52,medio,2026-05-27 13:55:39.990267
2026-05-27,Martes,1,12:30,12.5,30,50,0.6,medio,2026-05-27 13:55:39.990267
2026-05-27,Martes,1,13:00,13.0,33,50,0.66,medio,2026-05-27 13:55:39.990267
2026-05-27,Martes,1,13:30,13.5,33,50,0.66,medio,2026-05-27 13:55:39.990267
2026-05-27,Martes,1,14:00,14.0,32,50,0.64,medio,2026-05-27 13:55:39.990267
2026-05-27,Martes,1,14:30,14.5,18,50,0.36,bajo,2026-05-27 13:55:39.990267
2026-05-27,Martes,1,15:00,15.0,12,50,0.24,bajo,2026-05-27 13:55:39.990267
2026-05-27,Martes,1,15:30,15.5,8,50,0.16,bajo,2026-05-27 13:55:39.990267
2026-05-27,Martes,1,16:00,16.0,10,50,0.2,bajo,2026-05-27 13:55:39.990267
2026-05-27,Martes,1,16:30,16.5,11,50,0.22,bajo,2026-05-27 13:55:39.990267
2026-05-27,Martes,1,17:00,17.0,13,50,0.26,bajo,2026-05-27 13:55:39.990267
2026-05-27,Martes,1,17:30,17.5,14,50,0.28,bajo,2026-05-27 13:55:39.990267
2026-05-27,Miércoles,2,09:00,9.0,3,50,0.06,bajo,2026-05-27 13:55:39.990267
2026-05-27,Miércoles,2,09:30,9.5,5,50,0.1,bajo,2026-05-27 13:55:39.990267
2026-05-27,Miércoles,2,10:00,10.0,6,50,0.12,bajo,2026-05-27 13:55:39.990267
